                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.2578,                 2.3842,                 1.2737,                 1.3781,                0.34235,                  0.375,                0.24463,                0.08041,                0.29719,                0.20833,                0.17176,                0.04736,                 2.5514,                 12.106,                 3.0261,                 2.7933,              0.0019307,              0.0019307,              0.0019307
                     38,                 1.1027,                 2.1185,                 1.1494,                 1.2705,                0.37106,                   0.25,                0.19029,                0.07039,                0.37106,                   0.25,                0.15047,                0.03526,                 2.7092,                 14.718,                 3.7123,                 2.8365,              0.0019287,              0.0019287,              0.0019287
                     39,                 1.2766,                 2.3003,                 1.1754,                 1.3835,                0.32944,                  0.375,                0.26132,                0.10474,                0.30046,                0.16667,                0.12925,                0.03848,                 2.3582,                  9.208,                  3.603,                  2.583,              0.0019267,              0.0019267,              0.0019267
                     40,                 1.0792,                 2.1996,                 1.0666,                 1.2587,                0.47198,                0.16667,                0.17966,                0.06686,                0.13668,                0.16667,                0.07543,                0.02711,                 2.3586,                 10.662,                 4.0036,                 2.4171,              0.0019248,              0.0019248,              0.0019248
                     41,                 1.1144,                 2.1641,                 1.0377,                 1.2981,                0.23877,                0.16667,                0.14201,                0.04759,                0.23425,                0.08333,                0.06385,                0.02754,                 2.3103,                 9.5623,                 3.1718,                 2.2253,              0.0019228,              0.0019228,              0.0019228
                     42,                 1.1618,                 2.2343,                 1.1435,                  1.324,                0.36337,                0.33333,                0.28321,                0.11074,                0.41984,                0.33177,                0.22591,                0.08196,                 2.3426,                  8.039,                 2.5829,                 2.3746,              0.0019208,              0.0019208,              0.0019208
                     43,                 1.1559,                 2.3079,                 1.1909,                 1.3235,                0.43903,                0.41667,                0.29846,                0.11527,                0.31036,                0.29167,                0.16239,                0.06168,                 2.3993,                  7.037,                 2.6997,                 2.5004,              0.0019188,              0.0019188,              0.0019188
                     44,                 1.2221,                  2.252,                 1.1819,                 1.3422,                0.36312,                   0.25,                0.26455,                0.11248,                0.31986,                  0.125,                0.09306,                0.03496,                 2.4265,                 6.1596,                 3.1667,                 2.5711,              0.0019168,              0.0019168,              0.0019168
                     45,                 1.0679,                 2.0771,                 1.0312,                 1.2772,                  0.197,                   0.25,                0.15423,                0.05939,                0.17595,                0.16667,                0.07539,                0.02885,                 2.6284,                 6.9002,                 3.1117,                  2.896,              0.0019149,              0.0019149,              0.0019149
                     46,                 1.1872,                 2.3844,                  1.165,                 1.3452,                 0.6008,                   0.25,                0.29399,                0.10034,                 0.6095,                0.16667,                0.18433,                0.06221,                  2.517,                 6.5379,                 3.0766,                 2.6965,              0.0019129,              0.0019129,              0.0019129
                     47,                 1.0736,                 2.1599,                 1.0981,                 1.2411,                0.28673,                0.29167,                0.19948,                0.07794,                0.38078,                0.20833,                0.15681,                0.05964,                 2.5461,                 5.4279,                  3.274,                 2.5027,              0.0019109,              0.0019109,              0.0019109
                     48,                 1.1575,                 2.3116,                 1.1292,                 1.3004,                 0.2872,                0.29167,                0.18266,                0.10651,                0.38688,                0.20833,                0.15962,                0.07119,                  2.359,                 5.2357,                 3.1083,                 2.2596,              0.0019089,              0.0019089,              0.0019089
                     49,                 1.0638,                 2.1411,                 1.0752,                 1.2549,                 0.3605,                  0.375,                0.27533,                0.13221,                0.46947,                0.29167,                0.25262,                0.10577,                 2.2329,                 5.1911,                 2.5126,                 2.2074,              0.0019069,              0.0019069,              0.0019069
                     50,                 1.0466,                 2.0802,                 1.0408,                 1.2324,                 0.2764,                0.29167,                0.20196,                  0.089,                 0.2764,                0.29167,                0.20138,                0.08641,                   2.56,                 4.9679,                 3.4333,                 2.5859,               0.001905,               0.001905,               0.001905
